county,County.FIPS,id,abbr,state,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
Autauga County,01001,01001,AL,Alabama,.1786469,NULL,.1791713,25075,NULL,25476,.1538461,n/a*,.15,NULL,NULL,NULL,157,NULL,157,.7231071,.7806872,.7061895,.2497826,75515,50524,83153
Baldwin County,01003,01003,AL,Alabama,.137893,NULL,.1389907,18010,NULL,18070,.126,n/a*,.1257606,10734,NULL,10689,150,NULL,151,.6864109,.7890195,.6691968,.170148,80251,54171,84563
Barbour County,01005,01005,AL,Alabama,.0945946,NULL,NULL,NULL,NULL,NULL,.1142857,n/a*,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8778408,.9286825,.8279359,.5385153,47909,33579,61883
Bibb County,01007,01007,AL,Alabama,.1241379,NULL,.1229508,NULL,NULL,NULL,.1388889,n/a*,.1,NULL,NULL,NULL,NULL,NULL,NULL,.8851078,.9356803,.8691885,.2541839,58529,46221,61511
Blount County,01009,01009,AL,Alabama,.1037296,NULL,.103972,12506,NULL,12506,.1460674,n/a*,.1460674,NULL,NULL,NULL,87,NULL,87,.873571,.9390086,.8665231,.1285975,60646,42544,62136
Bullock County,01011,01011,AL,Alabama,.1751825,.1777778,NULL,NULL,NULL,NULL,.0833333,.0833333,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8669764,.9238166,.6857312,.7847759,45516,35193,79862
Butler County,01013,01013,AL,Alabama,.1182109,NULL,NULL,NULL,NULL,NULL,.1351351,n/a*,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.8390697,.8953866,.7942318,.4814482,52630,36508,65035
Calhoun County,01015,01015,AL,Alabama,.1130484,NULL,.1152815,16227,NULL,16214,.1343284,n/a**,.122093,NULL,NULL,NULL,131,NULL,122,.8199995,.8531967,.8093546,.2797501,61117,46391,66250
Chambers County,01017,01017,AL,Alabama,.1505728,NULL,.1713147,23692,NULL,NULL,.076087,n/a*,.0232558,NULL,NULL,NULL,144,NULL,NULL,.8676795,.9136645,.8365022,.442086,53553,43492,61287
Cherokee County,01019,01019,AL,Alabama,.0883117,NULL,.0883117,NULL,NULL,NULL,.0882353,n/a**,.0882353,NULL,NULL,NULL,NULL,NULL,NULL,.8710973,.8863049,.8700891,.0821181,55611,47354,56202
Chilton County,01021,01021,AL,Alabama,.0984529,NULL,.0984529,16851,NULL,16851,.1714286,n/a**,.1714286,NULL,NULL,NULL,149,NULL,149,.8583896,.9306393,.8439099,.1986114,62771,44771,66468
Choctaw County,01023,01023,AL,Alabama,.1363636,.1904762,.1071429,NULL,NULL,NULL,.037037,0,0,NULL,NULL,NULL,NULL,NULL,NULL,.870178,.8973593,.8500553,.4363289,52247,38090,63887
Clarke County,01025,01025,AL,Alabama,.137931,NULL,.0857143,NULL,NULL,NULL,.125,n/a*,0,NULL,NULL,NULL,NULL,NULL,NULL,.8744517,.9555824,.810257,.4712347,51892,37747,63271
