id,state,abbr,perc_debt_collect,med_debt_collect,perc_debt_med,med_debt_med,perc_debt_collect_nw,med_debt_collect_nw,perc_debt_med_nw,med_debt_med_nw,perc_debt_collect_wh,med_debt_collect_wh,perc_debt_med_wh,med_debt_med_wh,perc_pop_nw,perc_pop_no_ins,perc_pop_no_ins_wh,perc_pop_no_ins_nw,avg_income,avg_income_wh,avg_income_nw
USA,USA,,0.174314338,507.3390586,0.022981412,601.5612866,0.341130515,1104.363412,0.209265464,559.0960605,0.097845299,94.37834468,0.13213518,292.217671,0.14105832,0.085561751,0.04311713,0.022182654,26928.65539,18703.31923,1994.867007
01,Alabama,AL,0.087684184,844.9283377,0.128149752,616.509016,0.005875903,94.55031889,0.240972066,161.3769957,0.033199044,1128.367833,0.164508703,548.7318866,0.00988916,0.008281124,0.003568977,0.130284947,31792.99892,61039.09999,29263.99568
02,Alaska,AK,0.140619548,149.9931715,0.084001814,710.6420309,0.053344779,29.53094963,0.044276841,300.7621678,0.092137126,1097.735567,0.089886323,691.1012305,0.331456615,0.068825029,0.094694901,0.180327475,32841.0078,5282.385852,45241.62748
04,Arizona,AZ,0.204274212,764.5796981,0.128412328,835.1874489,0.21101734,590.474244,0.164677509,418.1760004,0.029336562,1277.142767,0.079101752,493.7906323,0.311286889,0.09902985,0.060215321,0.106243057,67314.53233,13977.95289,35870.45645
05,Arkansas,AR,0.306410898,979.3917815,0.088031172,429.1196068,0.363948916,949.3930244,0.19241758,532.3091363,0.206230337,940.9732655,0.190552482,150.6449046,0.267436052,0.091736803,0.07256783,0.011868531,9278.279642,34770.38222,17637.0836
06,California,CA,0.05560028,156.1987283,0.087073022,774.6587021,0.04184307,41.61648323,0.000396907,22.09671243,0.191186313,849.0074878,0.035155897,9.583115832,0.049829483,0.004209221,0.035744492,0.08937226,55657.74148,87036.19331,2568.188658
08,Colorado,CO,0.103406089,663.8920883,0.071203651,334.3525535,0.230467843,279.0151674,0.107461997,634.1468217,0.073395544,946.2889168,0.144289363,775.4096044,0.306926496,0.050730893,0.023293008,0.084574022,18404.92152,85793.28424,29990.1625
09,Connecticut,CT,0.00734665,128.6567046,0.030576275,29.21980531,0.18760863,295.7943589,0.066053795,179.9515935,0.017811523,210.3462295,0.089572091,364.7733193,0.253833579,0.039218564,0.000455631,0.094384164,72623.27241,2445.014898,7565.380225
10,Delaware,DE,0.355028104,510.4758969,0.15821833,242.2610523,0.327807976,1367.873126,0.310730071,231.5142688,0.1485221,971.527237,0.085984783,400.3165396,0.318657677,0.007410508,0.033271845,0.024831604,37864.26954,6055.910866,53534.44088
11,District of Columbia,DC,0.194969243,641.1923889,0.046032434,17.56745928,0.020290341,896.2113035,0.098894158,292.2239609,0.017576317,100.9830422,0.003181138,310.2407206,0.028167045,0.023456834,0.001839583,0.007445655,112697.926,44308.25026,47072.97427
12,Florida,FL,0.257464427,157.066768,0.176759195,678.5901639,0.336612829,525.7945114,0.098626621,561.8634257,0.039792335,809.1362301,0.15935576,125.2800332,0.29481896,0.037403355,0.048560097,0.0971556,52847.70649,39309.65639,55105.14048
13,Georgia,GA,0.289780135,625.0058839,0.218927675,701.324925,0.050679253,665.0476644,0.039799631,580.9300015,0.049851067,1135.804834,0.017854728,350.692633,0.112126514,0.107373912,0.100064416,0.116632654,1804.724553,34716.61304,36891.08658
15,Hawaii,HI,0.198196971,448.3506695,0.102512945,290.1335287,0.209914392,201.6610837,0.090781616,290.755546,0.152601609,n<50,0.022798002,n<50,0.119221951,0.033261201,0.025631443,0.014701073,70333.61057,391.1075038,62154.50908
16,Idaho,ID,0.057924019,504.7938637,0.112851475,642.8557194,0.411431927,n<50,0.072564428,n<50,0.25090592,558.7265391,0.117466527,737.6629541,0.140834346,0.030610568,0.045460573,0.09112006,2544.045438,1567.407989,52252.68329
17,Illinois,IL,0.032654967,801.9640372,0.043542461,216.3187463,0.22556218,471.1364447,0.167562051,178.3865143,0.090413934,693.1587315,0.124048274,232.5008226,0.301591884,0.040078108,0.013624374,0.042347056,6562.05475,40446.2159,31076.63368
18,Indiana,IN,0.094122516,856.2815126,0.010558712,450.8140333,0.249617555,558.0275263,0.095651496,317.2771102,0.154833014,664.787728,0.085395731,65.73452396,0.038441888,0.031048906,0.024809617,0.102391467,10559.48026,67614.48628,7141.136904
19,Iowa,IA,0.192050284,693.9084822,0.029895752,17.26195721,0.345013596,1124.364636,0.044740536,n<50,0.170223727,920.8061472,0.041575956,163.3684393,0.073823277,0.011372322,0.018295767,0.055374328,2899.398626,47704.81453,27855.57814
20,Kansas,KS,0.201161066,1081.705576,0.006710092,358.5016595,0.43409994,749.5620075,0.178747358,393.033329,0.091874578,1004.071617,0.029161315,514.8881933,0.031003069,0.016365168,0.0124728,0.14130716,13322.25439,68801.06809,50321.73291
21,Kentucky,KY,0.269135115,1097.228038,0.263166882,449.7107613,0.036743492,334.4199751,0.245691248,333.0133505,0.2472623,471.5606644,0.173462065,519.7464188,0.102209312,0.030609641,0.000384168,0.08377731,59150.94178,24168.86617,1548.58685
22,Louisiana,LA,0.392909993,1046.433577,0.189508683,569.8231951,0.08516877,254.9071404,0.209673805,151.3844097,0.168257121,391.9515454,0.094333749,35.99542365,0.405762086,0.118890042,0.058755678,0.047573975,39381.61613,59662.4426,24384.10508
